concept_type,variant,model,split,PC1_R2,PC1_Pearson_r,PC1_Spearman_r,PC1_RMSE,PC2_R2,PC2_Pearson_r,PC2_Spearman_r,PC2_RMSE,PC3_R2,PC3_Pearson_r,PC3_Spearman_r,PC3_RMSE,mean_R2
trait,leakage_control,gradient_boosting_tfidf,train,0.9033028266494885,0.9759731344190394,0.9734853371334284,13.647626104428383,0.8621916513525587,0.9708906411571139,0.9717842946073654,11.12518326150253,0.9158709549300479,0.9775785373275577,0.970241119868485,7.4599453215602285,0.8937884776440317
trait,leakage_control,gradient_boosting_tfidf,heldout,0.28571870563473856,0.5391367249956557,0.5454033771106942,37.48491440173272,-0.05284009567248016,0.13024055470149365,0.1876172607879925,32.888271693002636,0.2687766997464137,0.5295632720692307,0.50281425891182,28.373156732051253,0.16721843656955737
trait,leakage_control,small_mlp_tfidf,train,0.7158256366190265,0.8904521418255819,0.9252711317782945,23.396057188654417,0.7814818793724643,0.921465612164019,0.9301192529813247,14.00919362203779,0.7875085977070917,0.9071315622526458,0.9108347708692718,11.855867741538532,0.7616053712328608
trait,leakage_control,small_mlp_tfidf,heldout,0.3375536074546459,0.6324539910284164,0.6348968105065667,36.09917316387857,0.234028812538437,0.5905577043961283,0.6347091932457787,28.052144050251016,0.41713357400224904,0.7652183133390116,0.7348968105065667,25.33186508050533,0.329571997998444
role,description_only,mean_predictor,train,0.0,,,30.163455515182758,0.0,,,21.2661964319129,0.0,,,15.492572444923468,0.0
role,description_only,mean_predictor,heldout,-0.0031320411730033637,,,29.473325730125786,-0.005298821036380463,,,22.303277443267277,-0.0026546532831572822,,,16.728838396997155,-0.0036951718308470363
role,description_only,random_predictor,heldout,-0.9776713964436006,-0.07742188030262193,-0.03297258297258297,41.383494327235255,-1.4361144249479327,-0.3154922179837599,-0.30093795093795095,34.71921857249515,-0.6612219235675398,-0.10545096439570814,-0.1072871572871573,21.532969535710798,-1.0250025816530244
role,description_only,nearest_neighbor_semantic_retrieval,heldout,0.14835304954890183,0.5388100221724437,0.5235698504905212,27.156881072489156,-0.7705952554524687,0.18308493221199232,0.24415940860515176,29.599252826366413,-0.2219873463010158,0.4136427392237628,0.38743663803784834,18.468152556322373,-0.28140985073486086
role,description_only,ridge_tfidf,train,0.911936593373931,0.9852924238070118,0.9842479840868237,8.951149970006622,0.8804625848926289,0.9916040202623959,0.9884821061291649,7.352613735958735,0.8649285636917674,0.9906973027848409,0.9896823563221628,5.693840466525702,0.8857759139861091
role,description_only,ridge_tfidf,heldout,0.07835674286398109,0.6173197108618238,0.6362193362193362,28.250849894851925,0.23722299494258015,0.493410180211053,0.4430735930735932,19.42763324784741,0.18279482759526522,0.42780398087964405,0.3942279942279943,15.102736747816701,0.16612485513394215
role,description_only,elastic_net_tfidf,train,0.9928558546243849,0.9988411646281945,0.9983128877568844,2.5495071506077642,0.9898872413679366,0.9992207526736727,0.9983929044364177,2.1385757698516423,0.9866417404426935,0.9989959466362557,0.9986250655066127,1.7905995644288482,0.9897949454783382
role,description_only,elastic_net_tfidf,heldout,-0.12192932101369913,0.6224235956319093,0.6476911976911979,31.16971574307153,0.23306963810998094,0.5006759803005059,0.4540404040404041,19.480453633566245,0.19468949813756364,0.4562274708175117,0.45324675324675334,14.992421388023924,0.10194327174461515
role,description_only,gradient_boosting_tfidf,train,0.7669638514154421,0.8966235397647726,0.8975539390126467,14.56105156026389,0.6445263990817799,0.8754428387996454,0.7991122828554452,12.67924803893885,0.5580321152735301,0.8622605285153748,0.7887134819502302,10.29956522010957,0.6565074552569173
role,description_only,gradient_boosting_tfidf,heldout,0.2824184367444078,0.5398888914866828,0.48700551764905825,24.927901993240837,0.175565944765264,0.4190842289430483,0.25098446684219633,20.197567200290013,0.1947915466190645,0.46381414641718377,0.3530743400400501,14.991471442440874,0.2175919760429121
role,description_only,small_mlp_tfidf,train,0.9457460556730578,0.9738583084138235,0.9691304666324811,7.025815669400323,0.9121395948087745,0.9566678125336477,0.9552030564117591,6.303567706671237,0.8854009100044699,0.9415001267878607,0.9427125654361754,5.2446211275040655,0.914428853495434
role,description_only,small_mlp_tfidf,heldout,0.3690985106888107,0.6659256845480268,0.651948051948052,23.373883164838205,0.21469557116018834,0.48603713052944986,0.45930735930735944,19.712428160260274,0.1928734758425965,0.46359275412343215,0.4453823953823955,15.00931626232265,0.2588891858971985
role,description_plus_instructions,mean_predictor,train,0.0,,,30.163455515182758,0.0,,,21.2661964319129,0.0,,,15.492572444923468,0.0
role,description_plus_instructions,mean_predictor,heldout,-0.0031320411730033637,,,29.473325730125786,-0.005298821036380463,,,22.303277443267277,-0.0026546532831572822,,,16.728838396997155,-0.0036951718308470363
