replicate,M1_R2,M1_RMSE,M2_R2,M2_RMSE,M3_R2,M3_RMSE,delta_R2_M3_M1
148,0.45266270928033336,0.5891616842568332,0.18616677676970417,0.7184138288539372,0.4603742100372614,0.5849965767126489,0.007711500756928058
149,0.4473703683381184,0.6034105581931727,0.2208658551077679,0.7164764824951394,0.4589473740723097,0.5970566992185079,0.011577005734191292
150,0.4757937404014364,0.597729366781264,0.23479912115343227,0.7221729582840705,0.47809691735625826,0.5964148155277312,0.0023031769548218506
151,0.40809197373423434,0.6304317100917146,0.18068818998200165,0.7417124051061329,0.41296041152236673,0.6278337095718728,0.004868437788132396
152,0.4486020787070135,0.6163086739428871,0.24172667753365062,0.722734200154473,0.4642434220995981,0.6075044643055901,0.015641343392584606
153,0.47394771668777746,0.5902054718384434,0.24735109001947375,0.705967966187807,0.47889829605736933,0.5874217505904091,0.004950579369591868
154,0.43847083058145486,0.5991097496984766,0.22625224486267836,0.7032664955489895,0.45048948347915885,0.592663567324107,0.012018652897703985
155,0.4385262315205266,0.6329774714199804,0.16674371186078085,0.7711037538999617,0.43373099672693416,0.6356746788781579,-0.004795234793592451
156,0.44189194531993503,0.6017623809278032,0.15488170424526537,0.7404992808812133,0.44330573726845945,0.6009997093687218,0.0014137919485244232
157,0.47176739986974225,0.5848053859154835,0.19980718179096457,0.7197738894827955,0.4730885409254497,0.5840736116025106,0.0013211410557074643
158,0.45215736814504937,0.622460424157923,0.1935982467907733,0.7551957956423039,0.4614244391375947,0.6171733334763048,0.009267070992545312
159,0.44300151331785587,0.6227326664876608,0.23734065118510217,0.7286851842947731,0.45710129866473137,0.6148002589362326,0.014099785346875504
160,0.414156989787689,0.6277119303760835,0.15068851638134317,0.7557936779060651,0.40743764280943784,0.6313014492067722,-0.006719346978251162
161,0.4383751480284934,0.6052676328289881,0.22165868502612485,0.7125401380784616,0.44760151289253947,0.6002753808478496,0.009226364864046044
162,0.4423037479738333,0.6173238610529609,0.22357798231430415,0.7283885700444064,0.454360665421648,0.6106143919029077,0.012056917447814675
