model,component,explained_variance_ratio,cumulative_explained_variance,eigenvalue,eigengap_to_next,relative_eigengap_to_next,parallel_pointwise_pass,parallel_sequential_retain,bootstrap_evaluated,bootstrap_median_loading_cosine,bootstrap_loading_cosine_q05,bootstrap_same_nominal_frequency,individual_axis_stable,moderate_axis_reproducibility,best_adjacent_subspace,best_adjacent_subspace_min_cc_median,best_adjacent_subspace_min_cc_q05,adjacent_subspace_stable,max_absolute_trait_pearson,trait_coherence_descriptive,best_llama_component,best_llama_abs_pearson,best_llama_permutation_p,best_gemma_component,best_gemma_abs_pearson,best_gemma_permutation_p,cross_model_recurrence_any,cross_model_recurrence_both,retention_status,status_is_evidence_summary_not_significance_label
Qwen/Qwen3-32B,12,0.011253614555711286,0.779367819435391,32.226462390522656,2.8935168988138145,0.08978698511024767,True,True,True,0.5884142178644542,0.32621275727998056,0.258,False,False,PC12-PC13,0.24493743312734217,0.023828779109520925,False,0.15598488309092046,False,12,0.4870703704936076,0.000999000999000999,10,0.4876741760967761,0.000999000999000999,True,True,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,13,0.01024318643316117,0.7896110058685522,29.33294549170884,1.5331197793480804,0.052266138079499286,True,True,True,0.5770813731449347,0.40360543250775166,0.254,False,False,PC12-PC13,0.24493743312734217,0.023828779109520925,False,0.12256668081408811,False,14,0.43516040857017996,0.000999000999000999,11,0.4433225466507748,0.000999000999000999,True,True,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,14,0.009707814636671514,0.7993188205052236,27.79982571236076,2.643783163546054,0.09510071001526232,False,False,True,0.5903163254901617,0.3873869176837236,0.258,False,False,PC14-PC15,0.1855254292611362,0.023306591826630148,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,15,0.008784594572027498,0.8081034150772511,25.156042548814707,1.8650538237718344,0.07413939693227746,False,False,True,0.5424345509032432,0.3402978562561581,0.172,False,False,PC14-PC15,0.1855254292611362,0.023306591826630148,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,16,0.00813331002816282,0.816236725105414,23.290988725042872,0.9141125838042363,0.039247478696401016,False,False,True,0.5565664514460293,0.3743358893492632,0.186,False,False,PC16-PC17,0.17539090770626986,0.01642791377504651,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,17,0.007814098116101276,0.8240508232215152,22.376876141238636,1.7593871375985444,0.0786252346616044,False,False,True,0.5216381038370588,0.32856061426366273,0.152,False,False,PC16-PC17,0.17539090770626986,0.01642791377504651,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,18,0.007199712818054012,0.8312505360395692,20.61748900364009,0.2982124630530194,0.014464053454829972,False,False,True,0.5189723224860434,0.35246757951139174,0.198,False,False,PC17-PC18,0.17542288559060687,0.01559658695167028,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,19,0.007095575786994254,0.8383461118265635,20.319276540587072,2.253874327622981,0.11092296141159075,False,False,True,0.5165959409364599,0.31850288760928297,0.186,False,False,PC19-PC20,0.18038707597859394,0.018407655991301695,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,20,0.006308513507780473,0.844654625334344,18.06540221296409,1.854002498890413,0.10262724721179714,False,False,True,0.47531498633964275,0.2718796158475815,0.194,False,False,PC19-PC20,0.18038707597859394,0.018407655991301695,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,21,0.0056610881324785246,0.8503157134668226,16.21139971407368,1.215747452385262,0.07499336724945653,False,False,True,0.4694270387835343,0.259950697680824,0.14,False,False,PC20-PC21,0.16341134982384836,0.015853958676101516,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
