model,block_type,start_component,end_component,bootstrap_replicates,median_min_canonical_correlation,min_canonical_correlation_q05,min_canonical_correlation_q95,median_mean_canonical_correlation,mean_canonical_correlation_q05,mean_canonical_correlation_q95,median_subspace_overlap,subspace_overlap_q05,subspace_overlap_q95,median_max_principal_angle_degrees,max_principal_angle_degrees_q05,max_principal_angle_degrees_q95,component_swap_frequency,block_escape_frequency,subspace_stable
Llama-3.3-70B,adjacent_pair,22,23,500,0.10700157780363725,0.010256792683447544,0.32146055710799376,0.26237009879688483,0.1295351327366424,0.4255601878484257,0.09287767966225556,0.02436906066444778,0.2277154870395086,83.85750151014065,71.24872330611251,89.41231876328492,0.018,0.974,False
Llama-3.3-70B,adjacent_pair,23,24,500,0.1164785857138191,0.008773031591647279,0.31603741037300387,0.25652042943429876,0.11372782781184723,0.4277550322182017,0.08882220560185952,0.017715557755764014,0.21339843885246085,83.31108502077717,71.57653615785273,89.49733586618274,0.014,0.966,False
Llama-3.3-70B,adjacent_pair,24,25,500,0.1068558285549294,0.011225279602099316,0.33639555266219245,0.26758756651111654,0.12958686775176465,0.4454861084790277,0.09354436762608595,0.023031716286942696,0.22521903136244528,83.86590058475647,70.34257685750156,89.35682534617715,0.01,0.97,False
Llama-3.3-70B,adjacent_pair,25,26,500,0.1107294518658067,0.007550318950895983,0.3015801855008521,0.25666261839068466,0.12006488925899401,0.41486487841624575,0.09197925208277483,0.020244635883634825,0.1958355238916516,83.64263274751707,72.44746240718368,89.56739447855952,0.012,0.966,False
Llama-3.3-70B,adjacent_pair,26,27,500,0.09348087560105592,0.007356475452436595,0.2857979686233858,0.2377382190283493,0.1071672832633181,0.3902900576321128,0.07661881480474218,0.017465952750343954,0.17631155024440687,84.63610578176991,73.39344669070981,89.57850120077386,0.004,0.99,False
Llama-3.3-70B,adjacent_pair,27,28,500,0.09022744992861409,0.009454963355019805,0.2513705018873831,0.21876521616575964,0.10857905421235935,0.3633660521427462,0.06683683760033526,0.01588789343350158,0.15701740928267235,84.82330774508367,75.44136959585451,89.45826243216034,0.006,0.99,False
Llama-3.3-70B,adjacent_pair,28,29,500,0.1005475511516809,0.011525626619172457,0.2702608393579629,0.22990080167989022,0.1006742327974364,0.36277273920657604,0.07093495181384063,0.01521032791298897,0.170766044518786,84.22929808302503,74.32021103194147,89.3396156164554,0.0,0.994,False
Llama-3.3-70B,adjacent_pair,29,30,500,0.09948136796202146,0.00989079149761188,0.266713245467508,0.22743795773510467,0.09446606721642554,0.36348743543162376,0.06910762823376809,0.011566734565248578,0.16091378010121157,84.2906938583665,74.53121997183304,89.43329015075058,0.004,0.99,False
Llama-3.3-70B,adjacent_pair,30,31,500,0.0813809209272954,0.00925292591345562,0.25597743737154005,0.21294406659217724,0.09953106189615803,0.3516209259288407,0.06414999439947762,0.013959675813305848,0.1525224328448859,85.3320544093526,75.1684883454402,89.46983882589805,0.006,0.986,False
Llama-3.3-70B,adjacent_pair,31,32,500,0.08715860899433842,0.00862757372667061,0.2521618279268615,0.2125179413632478,0.10040008192465948,0.3594761326350337,0.06091623448209219,0.014294609086558692,0.16062042131521498,84.99983513236467,75.39452478741198,89.50567030507976,0.002,0.992,False
Llama-3.3-70B,adjacent_pair,32,33,500,0.08759629600058716,0.010034171811674443,0.25878743405219135,0.21318342280704844,0.10000282272482647,0.3435204046836779,0.05899416656145888,0.01343979353122201,0.1431527094188221,84.97466118891252,75.00187502379875,89.42507464320593,0.0,0.996,False
Llama-3.3-70B,adjacent_pair,33,34,500,0.08668991867222273,0.006130670211359257,0.2465997416388058,0.2136738305878977,0.10014906554105751,0.3471738938637596,0.06157851660925442,0.014694553365827591,0.14352600839987825,85.02679115052625,75.72360638195454,89.64873627089716,0.002,0.994,False
