pair,source_model,target_model,dimensions,variant,protocol,repeat_seed,fit_roles_only,coordinate_rmse,geometric_rmse,mean_aligned_coordinate_correlation,distance_matrix_correlation,nearest_neighbor_jaccard_k10,pc1_heldout_correlation,pc2_heldout_correlation,pc3_heldout_correlation,pc4_heldout_correlation,pc5_heldout_correlation,pc6_heldout_correlation
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7106,True,321.749446893,788.12196991,0.909290749727,0.932713971935,0.364291276788,0.959361858518,0.957291241801,0.94360564563,0.957859602277,0.872984247768,0.764641902367
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7107,True,323.453393567,792.295769812,0.909685718157,0.932417571269,0.368026528933,0.960255675941,0.957570954604,0.940891972825,0.956414128466,0.872404261526,0.770577315579
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7108,True,322.437287256,789.806827824,0.906617846837,0.932152997152,0.362712613402,0.959733796331,0.957002572951,0.941655826834,0.954817306934,0.864256613748,0.762240964225
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7109,True,321.802455285,788.251813424,0.907332640755,0.932975938076,0.361019392778,0.958751893718,0.957433775827,0.940751342612,0.957076003548,0.864604427123,0.765378401701
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,qwen_canonical_role_family_holdout,,True,383.592785123,939.606592564,0.908893660123,0.939650945839,0.386577104917,0.966336832612,0.964772398046,0.947535865714,0.955051823968,0.867314101666,0.75235093873
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,variance_standardized,repeated_5fold,7100,True,0.491060736088,1.20284823613,0.884293840784,0.849167446539,0.326766346516,0.969673368382,0.954487674545,0.925981640705,0.850139109138,0.907747171797,0.697734080135
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,variance_standardized,repeated_5fold,7101,True,0.487913337636,1.19513871591,0.884250990151,0.844229682599,0.329010724085,0.972379714984,0.954366749401,0.922988275148,0.848322577723,0.909480412639,0.697968211009
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,variance_standardized,repeated_5fold,7102,True,0.492662619098,1.20677203213,0.882142038276,0.845438804897,0.330712924377,0.970999883685,0.954618885242,0.920429391155,0.848757961375,0.906884119292,0.691161988906
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,variance_standardized,repeated_5fold,7103,True,0.507162200747,1.24228860866,0.881010354347,0.853827321499,0.318882118288,0.968392143894,0.95337402174,0.91930183615,0.860482888551,0.90711140176,0.677399833988
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,variance_standardized,repeated_5fold,7104,True,0.492265920932,1.20580032405,0.883151357096,0.847698535794,0.326244896861,0.971350089209,0.952118871877,0.923425450071,0.854339077102,0.906011613416,0.691663040902
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,variance_standardized,repeated_5fold,7105,True,0.492373798014,1.20606456785,0.884638279972,0.848934128565,0.323999354306,0.970062228014,0.951857803568,0.925908213471,0.855657221836,0.905109340896,0.699234872046
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,variance_standardized,repeated_5fold,7106,True,0.494909279372,1.21227520343,0.882599498136,0.848788724547,0.321355321353,0.970292814514,0.952514457672,0.926421263011,0.854746348355,0.906396767781,0.685225337482
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,variance_standardized,repeated_5fold,7107,True,0.49996554267,1.22466046851,0.880702025935,0.840621103311,0.32786361526,0.971283148257,0.953219630795,0.918114696576,0.847550698557,0.905093117368,0.688950864059
