model,model_key,role,trait,raw_cosine,within_model_z_score,within_model_percentile
Qwen/Qwen3-32B,qwen,nomad,adventurous,-0.013107521695,0.715043331194,69.7080291971
Qwen/Qwen3-32B,qwen,novelist,adventurous,-0.0117338819706,0.737035649525,70.802919708
Qwen/Qwen3-32B,qwen,nutritionist,adventurous,-0.152861100672,-1.5224467052,5.83941605839
Qwen/Qwen3-32B,qwen,observer,adventurous,-0.154471126252,-1.54822362068,5.47445255474
Qwen/Qwen3-32B,qwen,optimist,adventurous,-0.0590657979043,-0.0207602586724,49.2700729927
Qwen/Qwen3-32B,qwen,oracle,adventurous,-0.00237144338865,0.886930651834,77.3722627737
Qwen/Qwen3-32B,qwen,organizer,adventurous,-0.125577368165,-1.08562726853,17.1532846715
Qwen/Qwen3-32B,qwen,orphan,adventurous,-0.00275197878177,0.880838184244,77.0072992701
Qwen/Qwen3-32B,qwen,pacifist,adventurous,-0.134832016243,-1.23379651769,10.2189781022
Qwen/Qwen3-32B,qwen,paramedic,adventurous,-0.127668454965,-1.11910609544,15.3284671533
Qwen/Qwen3-32B,qwen,parasite,adventurous,-0.0384120880273,0.309910844011,58.3941605839
Qwen/Qwen3-32B,qwen,parent,adventurous,-0.0879879621121,-0.483811399969,37.2262773723
Qwen/Qwen3-32B,qwen,patient,adventurous,-0.089714450356,-0.511452912065,36.496350365
Qwen/Qwen3-32B,qwen,peacekeeper,adventurous,-0.133147467916,-1.20682647425,12.0437956204
Qwen/Qwen3-32B,qwen,perfectionist,adventurous,-0.0931598328741,-0.566614354885,35.0364963504
Qwen/Qwen3-32B,qwen,pharmacist,adventurous,-0.169263759446,-1.78505740787,0.729927007299
Qwen/Qwen3-32B,qwen,philosopher,adventurous,-0.0773442725617,-0.313403246606,42.3357664234
Qwen/Qwen3-32B,qwen,photographer,adventurous,-0.0243148863674,0.535610597003,65.3284671533
Qwen/Qwen3-32B,qwen,physicist,adventurous,-0.101381807394,-0.698250240004,31.7518248175
Qwen/Qwen3-32B,qwen,pilgrim,adventurous,-0.026841340079,0.49516143607,64.598540146
Qwen/Qwen3-32B,qwen,pilot,adventurous,-0.118245494588,-0.968242123936,20.0729927007
Qwen/Qwen3-32B,qwen,pirate,adventurous,0.0343847457209,1.47540650705,93.795620438
Qwen/Qwen3-32B,qwen,planner,adventurous,-0.12810502699,-1.12609572364,14.2335766423
Qwen/Qwen3-32B,qwen,playwright,adventurous,-0.00918857446104,0.777786664518,73.7226277372
Qwen/Qwen3-32B,qwen,podcaster,adventurous,-0.0105343882249,0.75623984683,71.897810219
Qwen/Qwen3-32B,qwen,poet,adventurous,0.0302025804856,1.40844898716,91.9708029197
Qwen/Qwen3-32B,qwen,polymath,adventurous,-0.0925195781697,-0.556363715637,35.401459854
Qwen/Qwen3-32B,qwen,pragmatist,adventurous,-0.0991997862624,-0.663315531525,32.8467153285
Qwen/Qwen3-32B,qwen,predator,adventurous,-0.0221612473228,0.570090901118,67.5182481752
Qwen/Qwen3-32B,qwen,presenter,adventurous,-0.0796324580462,-0.350037673147,40.5109489051
Qwen/Qwen3-32B,qwen,prey,adventurous,-0.023495625194,0.548727174955,66.0583941606
Qwen/Qwen3-32B,qwen,prisoner,adventurous,-0.00673875388794,0.817008909583,74.4525547445
Qwen/Qwen3-32B,qwen,procrastinator,adventurous,0.0290911589247,1.39065484774,91.6058394161
Qwen/Qwen3-32B,qwen,prodigy,adventurous,-0.0347412384721,0.368682070945,59.8540145985
Qwen/Qwen3-32B,qwen,producer,adventurous,-0.0857539095466,-0.448043655109,37.9562043796
