persona,nearest_neighbor_distance,mean_5nn_distance,mean_5nn_distance_percentile,profile_pca_reconstruction_error,reconstruction_error_percentile,neighbor_1,neighbor_1_distance,neighbor_2,neighbor_2_distance,neighbor_3,neighbor_3_distance,neighbor_4,neighbor_4_distance,neighbor_5,neighbor_5_distance
evaluator,0.8110470090064739,2.1815546795616783,0.7272727272727273,1.6095712716921315,7.2727272727272725,researcher,0.8110470090064739,analyst,1.7848289102613784,auditor,2.5856594789994762,consultant,2.8092419347430204,scientist,2.9169960647980426
evangelist,6.424589336973887,7.458600139722475,79.63636363636364,5.427593527521006,97.81818181818181,narrator,6.424589336973887,zeitgeist,7.570966401799998,exile,7.672640373789828,wanderer,7.760121432134334,dreamer,7.864683153914328
examiner,3.797795672796631,4.755003060112836,41.81818181818181,2.2363692907045167,31.636363636363633,validator,3.797795672796631,scientist,4.655420963201615,statistician,4.956133305144575,auditor,5.158610167709161,lawyer,5.207055191712196
exile,5.31070424566925,5.724263796147445,56.00000000000001,3.6285193351413914,80.0,wanderer,5.31070424566925,ghost,5.334190835825312,narrator,5.675874921782135,chimera,6.13180068545217,wind,6.168748292008359
expatriate,2.04135900036832,4.733238849875252,40.72727272727273,2.467882951084972,42.90909090909091,chef,2.04135900036832,presenter,3.7482303324677484,blogger,5.692842497519476,podcaster,5.911484701870686,celebrity,6.272277717150034
facilitator,3.16653281354002,4.401296411981475,32.72727272727273,2.238276995196881,32.0,collaborator,3.16653281354002,mediator,3.9381648864113608,nutritionist,4.29052617586466,therapist,4.72962389180936,coach,5.881634292281976
familiar,3.775217771326666,4.528379384012675,35.63636363636364,2.273638781786225,33.81818181818182,hermit,3.775217771326666,mycorrhizal,4.223195656263285,whale,4.781040927837741,homunculus,4.92907728167567,witch,4.933365282960014
fixer,5.119476228582474,7.169941015289604,75.63636363636364,3.087863035997671,66.18181818181819,vigilante,5.119476228582474,loner,7.344836850896268,rogue,7.4062197247390085,contrarian,7.954945428377294,hacker,8.024226843852976
flaneur,4.401042427253467,5.638103998001095,54.54545454545454,2.3065498207483435,36.36363636363637,narrator,4.401042427253467,chimera,4.636160549150472,dreamer,5.693346630346861,ghost,6.309246398179212,exile,7.150723985075466
fool,12.466243587186849,15.392490745607319,98.54545454545455,4.275978645335386,89.0909090909091,toddler,12.466243587186849,hoarder,13.049818279703233,procrastinator,16.27584662006806,provincial,17.122959494987253,improviser,18.0475857460912
forecaster,2.6935943961110134,3.1273359013323194,8.727272727272728,1.9174636250147452,15.272727272727273,strategist,2.6935943961110134,economist,2.957015117968756,engineer,3.151063956535029,generalist,3.3970788212014433,specialist,3.4379272148453555
futurist,4.696927717398819,6.13017972233335,63.272727272727266,2.9998881994697904,61.45454545454545,technologist,4.696927717398819,theorist,5.934020658316838,synthesizer,6.171363266132711,polymath,6.707531805653115,physicist,7.141055164165264
gamer,7.833674413969718,9.282297327913716,89.45454545454545,3.451074698863529,75.27272727272727,auctioneer,7.833674413969718,fixer,9.058553384554772,hedonist,9.216582421674806,veteran,9.988198615094644,rogue,10.314477804274638
generalist,3.013373777805838,3.587995536232338,17.09090909090909,2.2240154936490346,30.909090909090907,architect,3.013373777805838,forecaster,3.3970788212014433,publisher,3.550959236774743,synthesizer,3.739221689665654,marketer,4.239344155714011
genie,7.317408743856636,8.03942877260167,84.72727272727273,2.809526963059736,55.63636363636364,trickster,7.317408743856636,flaneur,7.841011750336624,jester,8.196635906869068,hedonist,8.396649666309884,ghost,8.445437795636138
geographer,1.866759188766828,3.0114102376357765,6.909090909090909,3.0475453780208515,62.54545454545455,biologist,1.866759188766828,architect,3.038197745701388,designer,3.0462984481828554,anthropologist,3.375571933675622,sociologist,3.7302238718521887
ghost,3.3127740334491977,4.2006215341389765,28.72727272727273,2.0293627013104176,21.09090909090909,echo,3.3127740334491977,wraith,4.258373710021723,hermit,4.3691421456278885,wind,4.496412934950351,ancient,4.56640484664572
golem,5.635317302983482,6.437813419281866,65.81818181818181,2.226793680614574,31.272727272727273,homunculus,5.635317302983482,whale,6.431714341196124,hermit,6.488140604751349,familiar,6.624532644192566,echo,7.00936220328581
gossip,5.910901666887736,8.72282383622424,88.0,4.228268602221407,88.36363636363636,comedian,5.910901666887736,smuggler,7.851115115426024,criminal,9.192690839417281,daredevil,9.954296043120122,hoarder,10.705115516270043
grader,5.4366760540023895,5.727392645040085,57.09090909090909,3.6007510255026816,78.9090909090909,statistician,5.4366760540023895,translator,5.452310965493679,examiner,5.603468773043783,validator,5.952566894628664,debugger,6.191940538031916
graduate,4.714590839054368,5.556389535161815,52.72727272727272,2.0148560593807456,19.636363636363637,divorcee,4.714590839054368,mechanic,4.891383411119332,celebrity,5.815582231502906,influencer,6.032542315009513,patient,6.327848879122952
grandparent,6.851298239335095,8.602350886698133,87.63636363636364,2.351507626640787,39.63636363636363,provincial,6.851298239335095,retiree,7.648971161525005,widow,9.11796794560505,bartender,9.604458487055819,newlywed,9.789058599969689
guardian,4.459175706499498,5.826197084265923,58.18181818181818,2.1099060334790574,23.636363636363637,altruist,4.459175706499498,ambassador,5.760841007897962,conservator,5.846894765487469,symbiont,6.526917432855467,emissary,6.537156508589219
guide,3.3809512000363653,4.248301653364123,29.454545454545457,1.754522812685243,10.545454545454545,navigator,3.3809512000363653,interpreter,3.895673295680505,cartographer,4.606463802181391,vegan,4.664763245602264,tulpa,4.693656723320092
