family,target,baseline_r2,candidate_r2,delta_r2
HEXACO:H:X:L,HEXACO:H:E:S,0.19663638411585616,0.19674359418982568,0.00010721007396952142
HEXACO:H:X:L,HEXACO:H:H:F,0.13801501008215,0.1378889353735845,-0.00012607470856551561
HEXACO:H:X:L,HEXACO:H:H:GA,0.05288074217532435,0.053201877143190246,0.00032113496786589923
HEXACO:H:X:L,HEXACO:H:H:M,0.11358513195139752,0.11339110090815607,-0.00019403104324144937
HEXACO:H:X:L,HEXACO:H:H:S,0.07720717783885434,0.07714725836965863,-5.991946919570168e-05
HEXACO:H:X:L,HEXACO:H:O:A,0.10231261577220807,0.10202335954183384,-0.0002892562303742352
HEXACO:H:X:L,HEXACO:H:O:C,0.06243052515054093,0.06068948772680838,-0.0017410374237325499
HEXACO:H:X:L,HEXACO:H:O:I,0.0921713710608858,0.09379557940020289,0.0016242083393170903
HEXACO:H:X:L,HEXACO:H:O:U,0.1311470239614887,0.1311741484994018,2.712453791309244e-05
HEXACO:H:X:L,HEXACO:H:X:E,0.1929985413918902,0.19511292707717076,0.002114385685280551
HEXACO:H:X:L,HEXACO:H:X:S,0.31083340722293984,0.31982814428723605,0.00899473706429621
HEXACO:H:X:L,HEXACO:H:X:SB,0.257907519208754,0.26153430602448224,0.0036267868157282557
HEXACO:H:X:L,IPIPneo:A1:TR,0.26263970873438724,0.26250621066146373,-0.00013349807292351024
HEXACO:H:X:L,IPIPneo:A2:MO,0.10686654091490899,0.10622509340364816,-0.0006414475112608287
HEXACO:H:X:L,IPIPneo:A3:AL,0.3935126294383855,0.3936876618080509,0.0001750323696654288
HEXACO:H:X:L,IPIPneo:A4:CO,0.13799348409540024,0.1379596115465549,-3.3872548845348405e-05
HEXACO:H:X:L,IPIPneo:A5:MO,0.14180637331319323,0.14149566585818196,-0.00031070745501127206
HEXACO:H:X:L,IPIPneo:A6:SY,0.1975583461306819,0.199280258671104,0.001721912540422088
HEXACO:H:X:L,IPIPneo:C1:SE,0.337707668705878,0.34051937635623886,0.002811707650360873
HEXACO:H:X:L,IPIPneo:C2:OR,0.13090407794205494,0.12822322656919605,-0.0026808513728588945
HEXACO:H:X:L,IPIPneo:C3:DU,0.2028142669598778,0.20244208104206773,-0.00037218591781007504
HEXACO:H:X:L,IPIPneo:C4:AS,0.2621363107567529,0.2698171323757611,0.007680821619008182
HEXACO:H:X:L,IPIPneo:C5:SD,0.31627141056904995,0.3212999585122043,0.005028547943154327
HEXACO:H:X:L,IPIPneo:C6:CA,0.17177162190947504,0.17138199778103202,-0.0003896241284430113
HEXACO:H:X:L,IPIPneo:E1:FR,0.464533567387563,0.46787827916516056,0.003344711777597542
HEXACO:H:X:L,IPIPneo:E2:GR,0.27902320707885664,0.2843337457319153,0.0053105386530586385
HEXACO:H:X:L,IPIPneo:E3:AS,0.2324453152548268,0.2361386546123554,0.00369333935752858
