model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
qwen,7,14,3026805,20,4097496,0.8342496165578803,0.8009035975485475
qwen,7,15,3026806,20,4097609,0.7231017492508537,0.7126996040052402
qwen,7,16,3026807,20,4097711,0.8242557730737998,0.8146658026914825
qwen,7,17,3026808,20,4097808,0.8262985603013295,0.8153202128691425
qwen,7,18,3026809,20,4097896,0.853690843438353,0.8314361833461021
qwen,7,19,3026810,20,4098007,0.8604211781191029,0.8276485439418353
qwen,7,20,3026811,20,4098100,0.8817892441320827,0.8715024560684059
qwen,7,21,3026812,20,4098200,0.8059104182749383,0.8017846045959706
qwen,7,22,3026813,20,4098306,0.8011906302922861,0.7645027665596773
qwen,7,23,3026814,20,4098393,0.7158671174580733,0.7077391011855281
qwen,7,24,3026815,20,4098494,0.5797555202743285,0.6892324751233103
qwen,7,25,3026816,20,4098600,0.8130815004056616,0.8250186213265471
qwen,7,26,3026817,20,4098692,0.8669140041935525,0.8624130211595931
qwen,7,27,3026818,20,4098794,0.857759516709752,0.8508269334462637
qwen,7,28,3026819,20,4098910,0.776931362977686,0.7617448300396373
qwen,7,29,3026820,20,4099002,0.7288671099909204,0.7688450233578814
qwen,7,30,3026821,20,4099095,0.9186427694810212,0.8792554835176919
qwen,7,31,3026822,20,4099196,0.7276944844265438,0.7481605927263408
qwen,7,32,3026823,20,4099299,0.9326251160428182,0.9086359188874128
qwen,7,33,3026824,20,4099410,0.7853846807835246,0.760445621595227
qwen,7,34,3026825,20,4099509,0.7248059553105858,0.7431249846355824
qwen,7,35,3026826,20,4099609,0.8740059136926208,0.852578137226988
qwen,7,36,3026827,20,4099701,0.9056781783002285,0.8675964526520055
qwen,7,37,3026828,20,4099798,0.6409878028047358,0.7115949176764296
qwen,7,38,3026829,20,4099899,0.6525670215622918,0.6746656518643961
qwen,7,39,3026830,20,4099994,0.7964809319798433,0.784851358274847
qwen,7,40,3026831,20,4100107,0.7924941661509012,0.7753155801498649
qwen,7,41,3026832,20,4100198,0.7169987111923328,0.7292566144806613
qwen,7,42,3026833,20,4100299,0.6869280538976756,0.7599446930033431
qwen,7,43,3026834,20,4100397,0.8437808515824466,0.836215630910262
qwen,7,44,3026835,20,4100493,0.9476729854382657,0.9267951146315682
qwen,7,45,3026836,20,4100603,0.6926788387615279,0.7297980083858484
qwen,7,46,3026837,20,4100696,0.8048804312255065,0.7859559947605379
qwen,7,47,3026838,20,4100808,0.906536226570446,0.9013299271821247
qwen,7,48,3026839,20,4100909,0.7341122159698393,0.8387340513495969
qwen,7,49,3026840,20,4100994,0.6889077843270015,0.7951585738941557
qwen,7,50,3026841,20,4101104,0.736054680062665,0.7390586069659644
qwen,8,1,3026892,20,4106207,0.7003982503835986,0.7666985880221165
qwen,8,2,3026893,20,4106304,0.6061422248190719,0.680934183783189
qwen,8,3,3026894,20,4106403,0.6416607880603964,0.7264562444150129
qwen,8,4,3026895,20,4106500,0.5086424311495721,0.6832224753921202
qwen,8,5,3026896,20,4106593,0.752272446540392,0.7621216878824133
qwen,8,6,3026897,20,4106699,0.7158966481351642,0.7757254345580734
qwen,8,7,3026898,20,4106797,0.7081408510590514,0.7567823490831626
qwen,8,8,3026899,20,4106898,0.6724559852480155,0.7122664669719493
qwen,8,9,3026900,20,4106996,0.566260262188035,0.7000077062445699
qwen,8,10,3026901,20,4107095,0.5806183518633443,0.6639717779498799
qwen,8,11,3026902,20,4107209,0.6355598002128844,0.7138509083067103
qwen,8,12,3026903,20,4107306,0.828712810774979,0.8157572720113787
qwen,8,13,3026904,20,4107398,0.6741366743837477,0.7344274671467859
qwen,8,14,3026905,20,4107504,0.6274524783255865,0.6876768431173911
qwen,8,15,3026906,20,4107604,0.573249557735516,0.6774588593181551
qwen,8,16,3026907,20,4107695,0.8561707043683604,0.8781105506057839
qwen,8,17,3026908,20,4107793,0.5651328175857089,0.6332312183265849
qwen,8,18,3026909,20,4107910,0.6578823191691124,0.7409430858687436
qwen,8,19,3026910,20,4107992,0.6363482631286418,0.6961074655906674
qwen,8,20,3026911,20,4108098,0.7691768909352477,0.8085213585965225
qwen,8,21,3026912,20,4108210,0.6276854988189283,0.7012808863954585
qwen,8,22,3026913,20,4108308,0.5836607924833503,0.6692968525833409
qwen,8,23,3026914,20,4108396,0.6012062347477514,0.6762679860052538
qwen,8,24,3026915,20,4108502,0.7850626512669155,0.7988220929450276
qwen,8,25,3026916,20,4108608,0.7056818894473413,0.7490507258774565
qwen,8,26,3026917,20,4108693,0.6617889432256429,0.7204549134677889
qwen,8,27,3026918,20,4108797,0.6462336938087565,0.7195594849750936
qwen,8,28,3026919,20,4108903,0.605699905565126,0.6776774111211087
qwen,8,29,3026920,20,4108998,0.7161210028175233,0.7480793321316617
qwen,8,30,3026921,20,4109097,0.6244734849155101,0.7022999030870768
qwen,8,31,3026922,20,4109206,0.6240570702062319,0.67492636556897
