model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
llama,5,L05_D,R264,0.9845370541195384,9
llama,5,L05_D,R005,0.9841459047250621,10
llama,5,L05_D,R179,0.9835303463383758,11
llama,5,L05_D,R237,0.9834567313949061,12
llama,5,L05_D,R078,0.9825013238633229,13
llama,5,L05_D,R252,0.9821239733912146,14
llama,5,L05_D,R178,0.980992070499246,15
llama,5,L05_D,R010,0.9809424396560037,16
llama,5,L05_D,R085,0.9808937086520018,17
llama,5,L05_D,R038,0.9797533641875189,18
llama,5,L05_D,R117,0.9795582020204663,19
llama,5,L05_D,R065,0.9787542161622269,20
llama,5,L05_D,R155,0.9775383070040251,21
llama,5,L05_D,R171,0.9772373314608351,22
llama,5,L05_D,R220,0.9769382642359102,23
llama,5,L05_D,R110,0.9767110321856038,24
llama,5,L05_D,R034,0.9761953789012876,25
llama,5,L05_D,R081,0.9753980604388796,26
llama,5,L05_D,R068,0.9752477171388727,27
llama,5,L05_D,R159,0.9749413462060921,28
llama,5,L05_D,R150,0.9729013246437349,29
llama,5,L05_D,R138,0.9721382117248477,30
llama,5,L05_D,R004,0.9703524908047554,31
llama,5,L05_D,R122,0.9701017641127221,32
llama,5,L05_D,R067,0.9700233344837271,33
llama,5,L05_D,R050,0.9697339304794979,34
llama,5,L05_D,R022,0.9697329491069605,35
llama,5,L05_D,R163,0.9695069155882359,36
llama,5,L05_D,R091,0.9686327597416411,37
llama,5,L05_D,R092,0.9682025203552492,38
llama,5,L05_D,R172,0.967898506272376,39
llama,5,L05_D,R119,0.9672558648862254,40
llama,5,L05_D,R047,0.9659478753512241,41
llama,5,L05_D,R210,0.9657649100317952,42
llama,5,L05_D,R251,0.9653561940342529,43
llama,5,L05_D,R143,0.9644304537418559,44
llama,5,L05_D,R145,0.9641108449364648,45
llama,5,L05_D,R039,0.9610897703978047,46
llama,5,L05_D,R197,0.9609306389379582,47
llama,5,L05_D,R136,0.9584317166847877,48
llama,5,L05_D,R087,0.9576212424337264,49
llama,5,L05_D,R221,0.9570894074094196,50
llama,5,L05_D,R247,0.9564175575827654,51
llama,5,L05_D,R032,0.9553822273895708,52
llama,5,L05_D,R256,0.9550039312668506,53
llama,5,L05_D,R199,0.953890541234627,54
llama,5,L05_D,R111,0.9503563631134071,55
llama,5,L05_D,R207,0.9490922584426363,56
llama,5,L05_D,R194,0.9487286945901989,57
llama,5,L05_D,R226,0.9466515106415136,58
llama,5,L05_D,R165,0.9437350252276302,59
llama,5,L05_D,R025,0.9362803499769559,60
llama,5,L05_D,R015,0.9353471851029037,61
llama,5,L05_D,R096,0.9279627751797296,62
llama,5,L05_D,R126,0.9129287738163377,63
llama,5,L05_E,R246,0.9391317354816758,1
llama,5,L05_E,R121,0.9040367213639376,2
llama,5,L05_E,R036,0.8792712200513962,3
llama,6,L06_A,R027,0.9895296767249238,1
llama,6,L06_A,R016,0.989215540989041,2
