model,K,seed,objective,iterations,ari_to_retained,nmi_to_retained,retained_start
llama,8,2036948,267.672888940736,16,0.6894826677716394,0.6052465627483065,False
llama,8,2036949,267.60123611985244,16,0.7489399960346776,0.6641401556804767,False
llama,8,2036950,267.72841623964644,10,0.7564920031002096,0.6967643386916352,False
llama,8,2036951,267.714677874839,11,0.7899500653024516,0.7490002444257876,False
llama,8,2036952,267.3575089971964,7,0.6876133699602287,0.6288101465706772,False
llama,8,2036953,266.9249525014093,6,0.5399228963854619,0.5466995015774552,False
llama,8,2036954,267.5559287940233,8,0.5641477148553252,0.5206492419509644,False
llama,8,2036955,267.25866810180094,5,0.5944430640454906,0.6071678144330843,False
llama,8,2036956,267.4400814688437,12,0.5713064648193202,0.5287673054652876,False
llama,8,2036957,267.59926751498284,6,0.660154802006301,0.5931134304304112,False
llama,8,2036958,267.44088196971177,7,0.6104331392862616,0.6401101439004147,False
llama,8,2036959,267.67023166819354,16,0.6693154360692327,0.589794334748175,False
llama,8,2036960,267.3276566277177,10,0.6288236583026104,0.6985675976480222,False
llama,8,2036961,267.43087910048797,11,0.7198295397129506,0.70795419321874,False
llama,8,2036962,267.63789947710575,10,0.7030414586156545,0.613550242312686,False
llama,8,2036963,267.61302326722057,19,0.6881508842437027,0.624562095211883,False
llama,8,2036964,267.3131621785069,11,0.6641096131047634,0.5681909308176776,False
llama,8,2036965,267.55625467021474,6,0.583245518587125,0.55059060045211,False
llama,8,2036966,267.51778756425284,5,0.6138937349295512,0.6293348825896691,False
llama,8,2036967,267.217734730889,6,0.5605927564712541,0.5623154453644938,False
llama,8,2036968,267.6688520566694,15,0.6107826228191318,0.5620241865655804,False
llama,8,2036969,267.55061810722736,14,0.625649860781112,0.5934760989883219,False
llama,8,2036970,267.2865290382486,7,0.5938760900029132,0.5638798650454891,False
llama,8,2036971,267.6115940261744,13,0.6319384992273256,0.5919136354183001,False
llama,8,2036972,267.6117820404391,8,0.714081650753452,0.6602246190027985,False
llama,8,2036973,267.6112611555866,5,0.731641547967902,0.6504386961132802,False
llama,8,2036974,267.44023050831913,6,0.654800840952578,0.709371650567494,False
llama,8,2036975,267.5868020317066,8,0.6467373494461838,0.6028245803368691,False
llama,8,2036976,267.3071687673298,13,0.6351960227364546,0.6083410628572933,False
llama,8,2036977,267.6264373850346,4,0.740601265484269,0.6555067560500735,False
llama,8,2036978,267.5576403131208,14,0.5901098636258784,0.5341222327813854,False
llama,8,2036979,267.53327678374296,16,0.6865389520397815,0.6186752971329401,False
llama,8,2036980,267.4136500992314,8,0.6240461617661258,0.6559053257725184,False
llama,8,2036981,267.6562689780293,16,0.6363932731333549,0.6113536536065045,False
