model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
llama,7,21,3036812,20,5098193,0.6728479051791202,0.6240401985107166
llama,7,22,3036813,20,5098292,0.7276691172743325,0.6482305242791124
llama,7,23,3036814,20,5098401,0.8127476245090849,0.7526744622434995
llama,7,24,3036815,20,5098501,0.779085096166269,0.7182382561394834
llama,7,25,3036816,20,5098607,0.800962010825826,0.7444029134948864
llama,7,26,3036817,20,5098700,0.6790685435665952,0.6491892880119307
llama,7,27,3036818,20,5098811,0.7632033029771207,0.71648378498427
llama,7,28,3036819,20,5098900,0.7210962201358608,0.6788757583632355
llama,7,29,3036820,20,5099009,0.6603677416415811,0.65357995256551
llama,7,30,3036821,20,5099105,0.7438234837165081,0.6694927890674176
llama,7,31,3036822,20,5099192,0.8558546101875645,0.7725556465147674
llama,7,32,3036823,20,5099297,0.8500759495553181,0.7755176786684991
llama,7,33,3036824,20,5099411,0.6328199383976569,0.627133767601904
llama,7,34,3036825,20,5099511,0.8145709571449653,0.757084248267016
llama,7,35,3036826,20,5099608,0.7122250216878215,0.6779090120100735
llama,7,36,3036827,20,5099692,0.7799708841575359,0.7482504886819602
llama,7,37,3036828,20,5099808,0.7159683284660839,0.6788597889428836
llama,7,38,3036829,20,5099903,0.8060337300815839,0.7674505282661281
llama,7,39,3036830,20,5099992,0.7750196781877139,0.7195634420137358
llama,7,40,3036831,20,5100094,0.785992315877123,0.7285741958587163
llama,7,41,3036832,20,5100194,0.707947488057289,0.6472856754425084
llama,7,42,3036833,20,5100303,0.7386993175688251,0.6749825642964354
llama,7,43,3036834,20,5100397,0.6548330209318902,0.628320356969724
llama,7,44,3036835,20,5100500,0.7728793444688893,0.7016282973105676
llama,7,45,3036836,20,5100592,0.7074410025103508,0.6456004010316141
llama,7,46,3036837,20,5100702,0.7981405314915454,0.7530274859430547
llama,7,47,3036838,20,5100805,0.7143639806980783,0.6610558291131361
llama,7,48,3036839,20,5100897,0.731681094003374,0.68983351438819
llama,7,49,3036840,20,5100999,0.7756665954296915,0.7000504814539615
llama,7,50,3036841,20,5101105,0.6855952554196711,0.6375141400621903
llama,8,1,3036892,20,5106199,0.6572724969169618,0.6177948739793405
llama,8,2,3036893,20,5106310,0.734265884419898,0.6888450543458193
