occupation_level,occupation_code,occupation_title,analytic_n,split_replicates,split_seed_first,split_seed_last,euclidean_distance_median,euclidean_distance_p05,euclidean_distance_p95,uncentered_cosine_median,uncentered_cosine_p05,uncentered_cosine_p95,centered_cosine_median,centered_cosine_p05,centered_cosine_p95,pearson_r_median,pearson_r_p05,pearson_r_p95,kendall_tau_b_median,kendall_tau_b_p05,kendall_tau_b_p95
narrow,4350,Nonfarm animal caretakers,13,500,20260911,20261410,1.151734276,0.5843788702,1.84643842,0.3343433865,-0.2464247395,0.803198534,-0.2310485032,-0.6128648924,0.6101019639,-0.2310485032,-0.6128648924,0.6101019639,0,-0.4,0.6
narrow,4430,Miscellaneous entertainment attendants and related workers,11,500,20260911,20261410,1.640107753,0.7368879205,2.78829883,-0.08341818415,-0.5692208553,0.657896528,-0.1398456999,-0.6193729629,0.711044001,-0.1398456999,-0.6193729629,0.711044001,0,-0.6,0.6
narrow,4510,"Hairdressers, hairstylists, and cosmetologists",35,500,20260911,20261410,0.7653608622,0.403000999,1.321961748,0.6172549026,0.05465938507,0.9279615809,-0.4343206411,-0.8026922723,0.5222161901,-0.4343206411,-0.8026922723,0.5222161901,-0.2,-0.6,0.4
narrow,4520,Miscellaneous personal appearance workers,12,500,20260911,20261410,1.251378941,0.6083826113,1.830432221,-0.2387366606,-0.5597405376,0.6085143316,-0.1389078481,-0.6465596374,0.5961499687,-0.1389078481,-0.6465596374,0.5961499687,0,-0.6,0.6
narrow,4600,Child care workers,91,500,20260911,20261410,0.4954879249,0.2598039311,0.8465351456,0.6881726928,0.2626862178,0.9121834578,0.8091152988,0.4715904692,0.9623636235,0.8091152988,0.4715904692,0.9623636235,0.8,0.4,1
narrow,4610,Personal and home care aides,59,500,20260911,20261410,0.6026887734,0.3105960508,0.9547708496,0.2400136519,-0.2882112323,0.7660718997,0.2503203738,-0.3869965967,0.8316294178,0.2503203738,-0.3869965967,0.8316294178,0.2,-0.4,0.6
narrow,4620,Recreation and fitness workers,16,500,20260911,20261410,0.8842573547,0.4800201652,1.442488982,0.734190166,0.3248486633,0.9366517075,0.6938463434,0.3489517015,0.9585048065,0.6938463434,0.3489517015,0.9585048065,0.6,0.2,1
narrow,4650,"Personal care and service workers, all other",11,500,20260911,20261410,1.320647486,0.6651849962,2.200990826,-0.01490127833,-0.5244162283,0.5881430233,0.1521368796,-0.3388907618,0.7610906367,0.1521368796,-0.3388907618,0.7610906367,0.2,-0.2,0.6
narrow,4700,First-line supervisors/managers of retail sales workers,147,500,20260911,20261410,0.3629005537,0.1904997157,0.559267404,0.6066595621,0.2218983724,0.8993677222,0.2340861749,-0.3069978602,0.8222186806,0.2340861749,-0.3069978602,0.8222186806,0.2,-0.4,0.6
narrow,4710,First-line supervisors/managers of non-retail sales workers,26,500,20260911,20261410,0.7101982769,0.3410912278,1.155777104,0.0624487775,-0.5001068231,0.7089044337,-0.1095693098,-0.6607890912,0.7143973833,-0.1095693098,-0.6607890912,0.7143973833,0,-0.6,0.6
narrow,4720,Cashiers,213,500,20260911,20261410,0.3236141528,0.1669307089,0.5024767168,0.314897583,-0.1520535369,0.802455033,0.4904816318,-0.07566795049,0.8928456046,0.4904816318,-0.07566795049,0.8928456046,0.2,-0.2,0.8
narrow,4760,Retail salespersons,157,500,20260911,20261410,0.3611086753,0.2009257861,0.5617608278,-0.1427605934,-0.5852016918,0.4797540269,0.08393529142,-0.4924896152,0.7196434113,0.08393529142,-0.4924896152,0.7196434113,0,-0.4,0.6
narrow,4810,Insurance sales agents,31,500,20260911,20261410,0.7270973716,0.3559494032,1.107853141,0.2034897528,-0.348496045,0.755928173,0.04894787064,-0.5095971387,0.7734737785,0.04894787064,-0.5095971387,0.7734737785,0,-0.6,0.4
narrow,4820,"Securities, commodities, and financial services sales agents",14,500,20260911,20261410,1.060140305,0.5824069469,1.607278571,-0.02772466497,-0.4661444523,0.586819808,-0.003409890138,-0.6190882777,0.7225348339,-0.003409890138,-0.6190882777,0.7225348339,0,-0.41,0.4
narrow,4840,"Sales representatives, services, all other",25,500,20260911,20261410,0.7938513187,0.4004663093,1.235804729,-0.02425042626,-0.4607260572,0.6425203186,-0.2452750718,-0.6705014272,0.5677963093,-0.2452750718,-0.6705014272,0.5677963093,0,-0.6,0.6
narrow,4850,"Sales representatives, wholesale and manufacturing",48,500,20260911,20261410,0.6694089946,0.3569991484,1.146112938,0.5897346518,0.1045729097,0.8867071464,0.7802368794,0.3869514195,0.9698504265,0.7802368794,0.3869514195,0.9698504265,0.6,0.2,0.8
narrow,4920,Real estate brokers and sales agents,11,500,20260911,20261410,1.360965541,0.8146476149,2.184996879,0.2125809905,-0.298065606,0.7638960887,0.4060322481,-0.2985302101,0.8638679144,0.4060322481,-0.2985302101,0.8638679144,0.2,-0.2,0.6
narrow,4940,Telemarketers,14,500,20260911,20261410,1.181895759,0.7138849408,1.763100136,0.169841141,-0.3027489838,0.70769379,0.3088901908,-0.3462954177,0.8521976029,0.3088901908,-0.3462954177,0.8521976029,0.2,-0.4,0.6
narrow,4950,"Door-to-door sales workers, news and street vendors, and related workers",13,500,20260911,20261410,1.199867946,0.6449870792,2.182651826,0.5537494809,-0.001514388974,0.8615573029,0.7735635631,0.4933375754,0.9583550963,0.7735635631,0.4933375754,0.9583550963,0.6,0.2,1
