model,persona,projected_norm_squared_20,centered_norm_squared,residual_norm_20,projected_norm_squared_full,residual_norm_full,captured_fraction_20,trait_cloud_distance_20,ood,nearest_traits_3d,trait_pc1,trait_pc2,trait_pc3,trait_pc4,trait_pc5,trait_pc6,trait_pc7,trait_pc8,trait_pc9,trait_pc10,trait_pc11,trait_pc12,trait_pc13,trait_pc14,trait_pc15,trait_pc16,trait_pc17,trait_pc18,trait_pc19,trait_pc20
gemma,provocateur,255627394.6201038,355752736.0818644,10006.265110507547,336705452.2939471,4364.31939572682,0.718553558956409,15040.31649565295,True,nurturing;supportive;agreeable;conciliatory;serene,8305.584904433821,3776.675441110751,-696.0734721911097,-1887.0824215353405,4026.287975452755,-3445.7983161484985,2907.156586522168,-4547.364313080604,-3165.0935898693374,-2321.638714607944,-1768.6250729147068,4270.355387759878,4564.347317256007,3737.4591254114393,4536.261557486801,1188.0153270086646,2922.5612536921376,516.7713058981695,2731.3506113052113,1135.681612178581
gemma,psychologist,274948917.56348467,374449912.105454,9975.018523389786,355501914.61098063,4352.929759882808,0.7342742211301481,15544.09099078391,True,nurturing;conciliatory;agreeable;supportive;calm,9556.478700065214,3860.6203237485556,-278.97967673140573,-1856.8567291369077,3828.0133153740976,-3226.507318439284,2978.733468025828,-4518.60071755591,-3292.098182625562,-2160.7620038035107,-1694.345543886925,4089.180771855138,4666.984251704203,3614.3855365964464,4516.576251851996,1087.2794131287596,3008.0990038707805,388.52863406664164,2963.9643906512265,1152.3823747104902
gemma,publisher,275224792.72642785,375487553.53657216,10013.129421421872,356327805.2617963,4377.184971505758,0.7329798022176551,15555.721337242387,True,nurturing;agreeable;supportive;conciliatory;calm,9497.923931250822,3920.305879567247,-307.30955485709325,-1849.8719916622535,3935.8320357976736,-3215.1508331224477,3014.5613450035435,-4457.396980197943,-3358.029917571252,-2356.756149477493,-1645.9505535064307,4074.535992203059,4735.949746755102,3623.917848778524,4498.861024028495,1061.7287231141547,2932.7038512311856,341.68995028212703,2883.9233857944137,1113.4788404169701
gemma,purist,259848581.17645803,360858208.3220297,10050.354578101793,341553625.647164,4393.698063689143,0.7200849951141177,15102.369738466414,True,nurturing;supportive;agreeable;conciliatory;serene,8949.572457091712,3567.837791763477,-969.0543641421714,-1317.6125851137958,3902.6033677719806,-3204.0071421390226,2763.48787493699,-4489.66942217238,-3165.4450840961836,-2319.8331489119714,-1649.1653094992294,3872.6080590730744,4624.029137952758,3729.141118701233,4749.410559458214,1177.8681296107734,3004.281298970377,337.3489592482929,2872.4335920697704,1147.9637207224048
gemma,realist,270117848.9198922,370364957.2131193,10012.347791263903,351232879.5709918,4374.023050022429,0.7293288516074649,15430.306341364027,True,nurturing;conciliatory;agreeable;supportive;calm,9164.1856044521,3768.868989763906,-191.47811105510175,-1917.6574836937339,4009.816882981375,-3447.7493054135166,2915.2323148913306,-4688.7071127452045,-3266.532405675763,-2342.4463971664363,-1710.3086174353184,3973.562328621852,4645.589152499207,3520.7686451135373,4564.640438385356,1090.4277423995386,3003.6829089531166,330.1378938206131,2948.994290979338,1033.1243899109186
gemma,rebel,259451074.06264293,361218047.1213403,10087.961789117628,342010404.8069701,4382.652429108445,0.7182671965874623,15164.522659974038,True,nurturing;supportive;agreeable;conciliatory;serene,8404.78250820325,3976.6331825306183,-628.239917610346,-1850.6049962888467,4207.342829249146,-3455.3483546131906,2854.692950100133,-4645.522760975332,-3229.871047454404,-2179.3595896508905,-1844.436352051757,4117.638859379923,4603.32768653785,3746.620409452191,4550.734369917589,1208.949787884949,2874.5457075047652,497.83665385400104,2646.341667256528,1164.159631720006
gemma,recruiter,273543379.41256046,373669715.9888953,10006.314834959714,354289699.6654145,4402.273994594247,0.7320458889440471,15513.05544043665,True,nurturing;agreeable;supportive;conciliatory;calm,9451.181417389234,4006.0267203170747,-220.38608179748246,-1831.9900485385838,3926.707546979008,-3201.5539883305714,2991.9655944362726,-4444.951544310178,-3254.7264118185135,-2380.1288914641673,-1750.8790868530907,4057.566048934848,4735.967231544807,3583.0955316064765,4503.29068323641,1027.6580399327138,2901.973750408179,357.28398197374264,2890.3024233364195,1045.3769349718048
gemma,refugee,268220253.28157005,369818417.9802005,10079.591494630648,350422827.0139568,4404.042570893672,0.7252755412953232,15391.740913403915,True,nurturing;supportive;agreeable;conciliatory;serene,9026.084858805165,4250.4609990044,-551.2510780698306,-1472.6740752146698,3960.3344603659125,-3339.3344666828543,2617.726971591841,-4754.495703640949,-3476.076084816475,-2310.515692805242,-1635.1077967713588,4134.956366944046,4629.387103323294,3463.1615294944863,4507.386745652505,1094.3645504012666,2924.2613880769186,256.756585783317,2812.5223252908386,1121.798025595199
gemma,reporter,270839293.5518526,371117771.4742675,10013.914215850607,352040614.8399898,4367.740449509071,0.729793381965897,15434.907003629742,True,nurturing;supportive;agreeable;conciliatory;calm,9325.178277283665,3949.063327957362,-343.65745869965247,-1834.5141787447365,3937.549706084904,-3278.020335128134,2965.2778907166185,-4456.207343200249,-3316.5457392490357,-2364.0693846198355,-1635.280144434119,4025.919265599721,4683.631543211971,3591.0034857937903,4495.930298686488,1088.5738046305403,2964.2179161986924,305.75396077919,2852.016843366553,1089.3553411322696
gemma,researcher,276519989.70328027,376712476.7227509,10009.619724019021,357653536.79648566,4365.654581648122,0.7340345934620868,15582.233125127259,True,nurturing;conciliatory;agreeable;supportive;calm,9606.600256881766,3695.4396567724225,-264.93743022552667,-1903.6813318428651,3867.5738759347787,-3184.4838222809485,3101.192733521744,-4463.776603717079,-3444.77016222193,-2250.261424918843,-1677.9881753242237,4065.7941134351286,4707.381020761643,3647.006350203844,4509.897398198484,1125.1315215367433,2945.5152038253877,378.3722615726222,2942.3633036237247,1192.7411898533055
