model,persona,residual_trait_hifwb_score,within_model_percentile
Llama,contrarian,-0.4789733958407216,1.090909090909091
Llama,coordinator,0.018624426975236037,60.0
Llama,coral_reef,0.06615346026485144,77.81818181818181
Llama,cosmopolitan,-0.004276811311684383,48.36363636363637
Llama,counselor,-0.10630256196921671,17.454545454545457
Llama,criminal,-0.39271772071595,2.181818181818182
Llama,critic,-0.054083184500315885,27.636363636363637
Llama,crystalline,0.19544710632020107,90.9090909090909
Llama,curator,0.02731032197331097,65.0909090909091
Llama,cyborg,0.08585373005084901,80.72727272727272
Llama,cynic,-0.6554452094987494,0.36363636363636365
Llama,daredevil,0.03685077105702853,70.54545454545455
Llama,debugger,-0.03340659491617545,36.0
Llama,demon,-0.051372921526865775,28.000000000000004
Llama,designer,0.01832564285611193,58.909090909090914
Llama,destroyer,-0.09452615794769685,18.90909090909091
Llama,detective,-0.054137091098860966,27.27272727272727
Llama,devils_advocate,-0.5224264968814297,0.7272727272727273
Llama,dilettante,-0.061406745066333174,25.09090909090909
Llama,dispatcher,0.004909556671859378,51.63636363636363
Llama,divorcee,-0.12851936110579157,12.363636363636363
Llama,doctor,-0.0014677217733452032,49.81818181818182
Llama,dreamer,0.2184062547011776,93.45454545454545
Llama,echo,0.22575280015429902,94.18181818181817
Llama,economist,-0.05075141281712844,28.72727272727273
Llama,ecosystem,0.030553462587597464,68.0
Llama,editor,-0.04206668571519029,31.272727272727273
Llama,egregore,0.08582156801121074,80.36363636363636
Llama,elder,-0.014853840916038964,42.90909090909091
Llama,eldritch,0.2837533391594292,98.18181818181819
Llama,emissary,0.011187559441148047,53.45454545454545
Llama,empath,0.0032957738227189777,51.272727272727266
Llama,engineer,0.013661867942597212,54.90909090909091
Llama,entrepreneur,0.014489412507530502,55.27272727272727
Llama,evaluator,0.018413968028670825,59.27272727272728
Llama,evangelist,0.3454830561034885,98.9090909090909
Llama,examiner,0.038001466510509646,71.27272727272728
Llama,exile,0.08888050143925603,81.0909090909091
Llama,expatriate,-0.11586051150021673,14.909090909090908
Llama,facilitator,-0.06323449621220983,24.727272727272727
Llama,familiar,0.16207387509008603,88.0
Llama,fixer,-0.1951820470434521,7.2727272727272725
Llama,flaneur,-0.07496735452810464,23.636363636363637
Llama,fool,0.009329861316852647,52.36363636363637
Llama,forecaster,-0.010735265817487767,45.81818181818182
Llama,futurist,0.035087714618505274,69.81818181818183
Llama,gamer,-0.012619342043160833,44.36363636363637
Llama,generalist,-0.03830605327850209,33.09090909090909
Llama,genie,0.07554136051261708,79.63636363636364
Llama,geographer,-0.044472393782923336,30.545454545454547
Llama,ghost,0.1618923872278446,87.63636363636364
