lower_K,higher_K,lower_profile_id,higher_profile_id,weighted_sqrt_js_distance,expected_score_profile_correlation,lower_profile_nearest_higher,higher_profile_nearest_lower,mutual_nearest
8,9,H08_D,H09_E,0.2795227011256351,0.7530431644852904,False,False,False
8,9,H08_D,H09_F,0.2311030949482159,0.7571308217332468,False,False,False
8,9,H08_D,H09_G,0.2014281854767067,0.6659226729863995,False,False,False
8,9,H08_D,H09_H,0.24735543053092574,0.7552710267849775,False,False,False
8,9,H08_D,H09_I,0.22185527621450124,0.5902676573588862,False,False,False
8,9,H08_E,H09_A,0.2384053842594149,0.6789709123096003,False,False,False
8,9,H08_E,H09_B,0.3267131731970495,0.4545997269627252,False,False,False
8,9,H08_E,H09_C,0.08887491764646716,0.937940487335411,True,True,True
8,9,H08_E,H09_D,0.21925587754592268,0.8381961400027416,False,False,False
8,9,H08_E,H09_E,0.4363250193238992,0.45911395405812644,False,False,False
8,9,H08_E,H09_F,0.18943516864591844,0.5891480486329344,False,False,False
8,9,H08_E,H09_G,0.16404628035669716,0.9119678329684794,False,False,False
8,9,H08_E,H09_H,0.35289449047911897,0.9218861729938276,False,False,False
8,9,H08_E,H09_I,0.3042855474247568,0.511724964326513,False,False,False
8,9,H08_F,H09_A,0.22018232365475196,0.4400518652167881,False,False,False
8,9,H08_F,H09_B,0.31545117047846855,0.10408049504959108,False,False,False
8,9,H08_F,H09_C,0.3157028778134739,0.7033165981685147,False,False,False
8,9,H08_F,H09_D,0.23294819261401614,0.5985313293831426,False,False,False
8,9,H08_F,H09_E,0.3200966424261477,0.11566113338190095,False,False,False
8,9,H08_F,H09_F,0.3067069635976405,0.3058488305785279,False,False,False
8,9,H08_F,H09_G,0.13088722412806933,0.9788970425021389,True,True,True
8,9,H08_F,H09_H,0.1428651239582836,0.9502542008272803,False,True,False
8,9,H08_F,H09_I,0.21772582919562103,0.3265809561486672,False,False,False
8,9,H08_G,H09_A,0.31881434660593433,0.7194380963551299,False,False,False
8,9,H08_G,H09_B,0.2964937930067131,0.9426859598742426,False,False,False
8,9,H08_G,H09_C,0.4640301956633084,0.7680180490423577,False,False,False
8,9,H08_G,H09_D,0.3221144139836224,0.8100889631936273,False,False,False
8,9,H08_G,H09_E,0.11190402562065302,0.9667217253586315,True,True,True
8,9,H08_G,H09_F,0.40521296348011,0.9357652755453386,False,False,False
8,9,H08_G,H09_G,0.36280782837427583,0.36162366047719763,False,False,False
8,9,H08_G,H09_H,0.1975988183284638,0.4392757165128511,False,False,False
8,9,H08_G,H09_I,0.23927938540924532,0.8507410937489093,False,False,False
8,9,H08_H,H09_A,0.21040366828169638,0.48591179183913363,False,False,False
8,9,H08_H,H09_B,0.19758181825591228,0.7940935085380318,False,False,False
8,9,H08_H,H09_C,0.2729904263905748,0.6342878596512155,False,False,False
8,9,H08_H,H09_D,0.20515918302297464,0.6502612895669583,False,False,False
8,9,H08_H,H09_E,0.2993288429560873,0.7722560078486906,False,False,False
8,9,H08_H,H09_F,0.16309185342643795,0.9422691271226956,False,False,False
8,9,H08_H,H09_G,0.20493548652468385,0.4814552366437445,False,False,False
8,9,H08_H,H09_H,0.2860525545736215,0.4047099860161819,False,False,False
8,9,H08_H,H09_I,0.10436120271118016,0.9865906503001416,True,True,True
9,10,H09_A,H10_A,0.08908085223065712,0.9595962344540689,True,True,True
9,10,H09_A,H10_B,0.2079953109600794,0.6905928417001488,False,False,False
9,10,H09_A,H10_C,0.21818193554147047,0.6396588867930454,False,False,False
9,10,H09_A,H10_D,0.27299492589810104,0.7005832505494857,False,False,False
9,10,H09_A,H10_E,0.2767324217276578,0.6104107011630155,False,False,False
