model,persona,direct_trait_hifwb_score,within_model_percentile
Llama,doctor,0.3909878494450542,76.36363636363637
Llama,dreamer,0.31330456311156746,66.18181818181819
Llama,echo,0.12360823824601531,39.27272727272727
Llama,economist,0.19240888974470008,49.09090909090909
Llama,ecosystem,0.668925146752459,98.18181818181819
Llama,editor,0.33548907740852774,70.9090909090909
Llama,egregore,0.46234830544066474,84.36363636363636
Llama,elder,0.12329130919614406,38.90909090909091
Llama,eldritch,-0.23997527014661635,25.454545454545453
Llama,emissary,0.6423626672607593,97.0909090909091
Llama,empath,0.477288098096767,86.18181818181819
Llama,engineer,0.3243741710054206,68.72727272727272
Llama,entrepreneur,0.3830811737594867,75.27272727272727
Llama,evaluator,0.3615423898028207,72.0
Llama,evangelist,0.6038777500640736,94.9090909090909
Llama,examiner,0.25446400656041124,57.09090909090909
Llama,exile,-0.44924916005162463,16.727272727272727
Llama,expatriate,0.17460522822969882,45.45454545454545
Llama,facilitator,0.5596990845037311,93.0909090909091
Llama,familiar,0.31092223694598026,65.81818181818181
Llama,fixer,-0.4372143922877598,17.454545454545457
Llama,flaneur,-0.03849426669899314,33.09090909090909
Llama,fool,-1.5945136250278111,2.909090909090909
Llama,forecaster,0.3812404296214302,74.18181818181819
Llama,futurist,0.5139757489957985,89.81818181818181
Llama,gamer,-0.20344292336256764,26.545454545454543
Llama,generalist,0.48531336498963246,87.27272727272727
Llama,genie,-0.2920815121143571,23.636363636363637
Llama,geographer,0.28820088015439227,61.81818181818181
Llama,ghost,-0.0177259163469458,34.54545454545455
Llama,golem,-0.07649894228348626,32.0
Llama,gossip,-1.339277186415736,5.090909090909091
Llama,grader,0.24819282299663942,56.00000000000001
Llama,graduate,-0.1486904795725438,29.454545454545457
Llama,grandparent,-0.4395314538911733,17.09090909090909
Llama,guardian,0.35045739635131506,71.27272727272728
Llama,guide,0.4705213996056818,84.72727272727273
Llama,guru,0.6252936909415561,96.36363636363636
Llama,hacker,-0.233252378625675,25.818181818181817
Llama,healer,0.8079725655173812,100.0
Llama,hedonist,-0.29507994809111615,23.272727272727273
Llama,hermit,-0.15962164063385326,28.72727272727273
Llama,historian,0.2217879640962159,53.81818181818182
Llama,hive,0.39419227909347354,76.72727272727272
Llama,hoarder,-1.4957625758202306,4.363636363636364
Llama,homunculus,0.06773134320238676,36.72727272727273
Llama,hybrid,0.6812651754244178,98.54545454545455
Llama,idealist,0.45588592166691627,82.9090909090909
Llama,immigrant,0.1275828681814595,39.63636363636363
Llama,improviser,-0.3961066394211415,18.545454545454547
Llama,infant,-2.078377152301345,1.090909090909091
Llama,influencer,0.20254505622274818,50.90909090909091
Llama,instructor,0.4197828623281234,80.0
Llama,interpreter,0.5207812074207522,90.54545454545455
Llama,interviewer,-0.2609130357828341,24.727272727272727
Llama,jester,-0.9656935361324879,8.727272727272728
Llama,journalist,0.09406197333923297,37.09090909090909
Llama,judge,0.2298073170252771,55.63636363636364
Llama,lawyer,0.18110613317462707,46.54545454545455
Llama,leviathan,-0.47083972861099804,15.272727272727273
Llama,librarian,0.3198953771471342,67.27272727272727
Llama,linguist,0.1769054229112743,45.81818181818182
Llama,loner,-0.9324530139061682,9.454545454545455
Llama,luddite,-1.3888957183311694,4.7272727272727275
Llama,marketer,0.43496841557510557,81.0909090909091
Llama,martyr,-0.11041260804331585,30.545454545454547
